Dates,CCI Values
2019-05-31,-160.3554
2019-05-30,-78.0929
2019-05-29,-65.0886
2019-05-28,67.2000
2019-05-24,74.9691
2019-05-23,-28.9840
2019-05-22,48.6609
2019-05-21,98.5050
2019-05-20,32.6565
2019-05-17,37.1541
2019-05-16,-15.7411
2019-05-15,-82.1528
2019-05-14,-105.6509
2019-05-13,-138.2255
2019-05-10,-98.8881
2019-05-09,-132.1815
2019-05-08,-156.3531
2019-05-07,-243.9218
2019-05-06,-193.3508
2019-05-03,-54.8686
2019-05-02,-90.5223
2019-05-01,-13.5705
2019-04-30,-27.0219
2019-04-29,58.8825
2019-04-26,90.2763
2019-04-25,83.1249
2019-04-24,24.1704
2019-04-23,-4.0712
2019-04-22,23.9596
2019-04-18,39.3307
2019-04-17,17.6121
2019-04-16,15.9515
2019-04-15,-28.8680
2019-04-12,-26.0919
2019-04-11,-89.2404
2019-04-10,-121.6029
2019-04-09,-103.3412
2019-04-08,-59.5779
2019-04-05,89.8802
2019-04-04,102.5367
2019-04-03,84.1216
2019-04-02,156.9985
2019-04-01,221.0931
2019-03-29,141.1880
2019-03-28,47.0297
2019-03-27,-6.6518
2019-03-26,-30.5001
2019-03-25,-104.2807
2019-03-22,-186.8987
2019-03-21,-49.0613
2019-03-20,-40.0670
2019-03-19,-56.5127
2019-03-18,-74.7216
2019-03-15,-71.2943
2019-03-14,-94.0347
2019-03-13,-131.0951
2019-03-12,-189.2558
2019-03-11,-258.9654
2019-03-08,-115.6750
2019-03-07,-101.3212
2019-03-06,-45.7631
2019-03-05,13.2129
2019-03-04,58.6322
2019-03-01,140.8421
2019-02-28,157.6112
2019-02-27,144.8238
2019-02-26,110.0202
2019-02-25,147.4233
2019-02-22,112.9959
2019-02-21,94.7271
2019-02-20,154.6428
2019-02-19,143.0719
2019-02-15,147.4065
2019-02-14,73.3534
