Dates,MAMA Values
2019-03-11,242.8130
2019-03-08,219.5136
2019-03-07,242.9299
2019-03-06,219.5008
2019-03-05,243.0476
2019-03-04,219.4061
2019-03-01,243.1659
2019-02-28,219.2695
2019-02-27,243.2853
2019-02-26,219.1058
2019-02-25,243.4060
2019-02-22,218.9977
2019-02-21,243.5281
2019-02-20,218.9050
2019-02-19,243.6514
2019-02-15,218.7562
2019-02-14,243.7757
2019-02-13,218.5902
2019-02-12,243.9015
2019-02-11,218.4314
2019-02-08,244.0287
2019-02-07,218.2546
2019-02-06,244.1573
2019-02-05,218.0808
2019-02-04,244.2875
2019-02-01,217.8344
2019-01-31,244.4192
2019-01-30,217.5960
2019-01-29,244.5527
2019-01-28,217.3861
2019-01-25,244.6882
2019-01-24,217.2149
2019-01-23,244.8254
2019-01-22,217.0260
2019-01-18,244.9641
2019-01-17,216.8539
2019-01-16,245.1045
2019-01-15,216.5782
2019-01-14,245.2465
2019-01-11,216.2590
2019-01-10,245.3906
2019-01-09,215.9070
2019-01-08,245.5370
2019-01-07,215.5380
2019-01-04,245.6858
2019-01-03,215.1569
2019-01-02,245.8373
2018-12-31,214.8098
2018-12-28,245.9915
2018-12-27,214.4305
2018-12-26,246.1482
2018-12-24,214.0212
2018-12-21,246.3076
2018-12-20,213.6317
2018-12-19,246.4698
2018-12-18,213.2122
2018-12-17,246.6349
2018-12-14,212.7460
2018-12-13,246.8028
2018-12-12,212.3398
2018-12-11,246.9739
2018-12-10,211.9117
2018-12-07,247.1480
