Dates,NATR Values
2019-08-09,2.5875
2019-08-08,2.6899
2019-08-07,2.7968
2019-08-06,2.7941
2019-08-05,2.8974
2019-08-02,2.7262
2019-08-01,2.8039
2019-07-31,2.6848
2019-07-30,2.6019
2019-07-29,2.5957
2019-07-26,2.6195
2019-07-25,2.6797
2019-07-24,2.3843
2019-07-23,2.1782
2019-07-22,2.2469
2019-07-19,2.1586
2019-07-18,1.9744
2019-07-17,1.8501
2019-07-16,1.8567
2019-07-15,1.9419
2019-07-12,1.9438
2019-07-11,1.9716
2019-07-10,1.9624
2019-07-09,2.0097
2019-07-08,2.0573
2019-07-05,2.0538
2019-07-03,2.1085
2019-07-02,2.2635
2019-07-01,2.3712
2019-06-28,2.2165
2019-06-27,2.3206
2019-06-26,2.1303
2019-06-25,2.1123
2019-06-24,2.1032
2019-06-21,2.2414
2019-06-20,2.3401
2019-06-19,2.4267
2019-06-18,2.3318
2019-06-17,2.1117
2019-06-14,2.1106
2019-06-13,2.2291
2019-06-12,2.3310
2019-06-11,2.3651
2019-06-10,2.3641
2019-06-07,2.5065
2019-06-06,2.6623
2019-06-05,2.7811
2019-06-04,2.4578
2019-06-03,2.5305
2019-05-31,2.4334
2019-05-30,2.3697
2019-05-29,2.5142
2019-05-28,2.4692
2019-05-24,2.6048
2019-05-23,2.5862
2019-05-22,2.4891
2019-05-21,2.5028
2019-05-20,2.5766
2019-05-17,2.6755
2019-05-16,2.7058
2019-05-15,2.7284
2019-05-14,2.6930
2019-05-13,2.7504
2019-05-10,2.3534
2019-05-09,2.3681
2019-05-08,2.2882
2019-05-07,2.3056
2019-05-06,1.9670
2019-05-03,1.8377
2019-05-02,1.9366
2019-05-01,2.0164
2019-04-30,2.0935
2019-04-29,2.1392
2019-04-26,2.1169
2019-04-25,2.1696
2019-04-24,2.1015
2019-04-23,2.1215
2019-04-22,2.2238
2019-04-18,2.2879
2019-04-17,2.4225
2019-04-16,2.4668
2019-04-15,2.5022
2019-04-12,2.5752
2019-04-11,2.6407
2019-04-10,2.7670
2019-04-09,2.8560
2019-04-08,2.9260
2019-04-05,2.5377
2019-04-04,2.5753
2019-04-03,2.5884
2019-04-02,2.6194
2019-04-01,2.7249
2019-03-29,2.7736
2019-03-28,2.9095
2019-03-27,3.1062
2019-03-26,3.1537
2019-03-25,3.2635
2019-03-22,3.4317
2019-03-21,3.3721
2019-03-20,3.5715
2019-03-19,3.7780
2019-03-18,3.9792
2019-03-15,3.9973
2019-03-14,3.9359
2019-03-13,4.0845
2019-03-12,4.0135
2019-03-11,3.2960
2019-03-08,1.9684
2019-03-07,1.9785
2019-03-06,1.8938
2019-03-05,1.8203
2019-03-04,1.8768
2019-03-01,1.5972
2019-02-28,1.6245
2019-02-27,1.6711
2019-02-26,1.6457
2019-02-25,1.7044
2019-02-22,1.7526
2019-02-21,1.7942
2019-02-20,1.7973
2019-02-19,1.8734
2019-02-15,1.9819
2019-02-14,2.0228
2019-02-13,2.1238
2019-02-12,2.2223
2019-02-11,2.3109
2019-02-08,2.3657
2019-02-07,2.4247
2019-02-06,2.4498
2019-02-05,2.5055
2019-02-04,2.4914
2019-02-01,2.5602
2019-01-31,2.6253
2019-01-30,2.7034
2019-01-29,2.3676
2019-01-28,2.4803
2019-01-25,2.5422
2019-01-24,2.6025
2019-01-23,2.6944
2019-01-22,2.7349
2019-01-18,2.6620
2019-01-17,2.7497
2019-01-16,2.7028
2019-01-15,2.8931
2019-01-14,3.0626
2019-01-11,3.1930
2019-01-10,3.3531
2019-01-09,3.4825
2019-01-08,3.6894
2019-01-07,3.8095
2019-01-04,3.9967
2019-01-03,4.0451
2019-01-02,3.8209
2018-12-31,3.9099
