Dates,TEMA Values
2019-09-18,366.0021
2019-09-17,363.2240
2019-09-16,360.4662
2019-09-13,358.1130
2019-09-12,355.4426
2019-09-11,353.0414
2019-09-10,349.5496
2019-09-09,347.3932
2019-09-06,346.3534
2019-09-05,344.7167
2019-09-04,343.2733
2019-09-03,342.1701
2019-08-30,341.2359
2019-08-29,339.0601
2019-08-28,336.8763
2019-08-27,334.8582
2019-08-26,333.3210
2019-08-23,331.1507
2019-08-22,329.1860
2019-08-21,327.2735
2019-08-20,326.9714
2019-08-19,327.6662
2019-08-16,328.1969
2019-08-15,329.1989
2019-08-14,330.6040
2019-08-13,333.0654
2019-08-12,334.2454
2019-08-09,335.5332
2019-08-08,336.3884
2019-08-07,337.4779
2019-08-06,339.5202
2019-08-05,341.6184
2019-08-02,344.0712
2019-08-01,345.7159
2019-07-31,348.1406
2019-07-30,349.9446
2019-07-29,351.1483
2019-07-26,353.3283
2019-07-25,355.1149
2019-07-24,356.6781
2019-07-23,356.7649
2019-07-22,355.4575
2019-07-19,354.0002
2019-07-18,351.9503
2019-07-17,351.6897
2019-07-16,350.4006
2019-07-15,349.8254
2019-07-12,349.3467
2019-07-11,348.3886
2019-07-10,348.1216
2019-07-09,348.6479
2019-07-08,349.1318
2019-07-05,349.9015
2019-07-03,350.1728
2019-07-02,350.6420
2019-07-01,351.1950
2019-06-28,351.5246
2019-06-27,350.9804
2019-06-26,350.3981
2019-06-25,348.4629
2019-06-24,347.0548
2019-06-21,344.9815
2019-06-20,343.0109
2019-06-19,340.5296
2019-06-18,338.6244
2019-06-17,335.9359
2019-06-14,335.3447
2019-06-13,335.6641
2019-06-12,335.8340
2019-06-11,336.2672
2019-06-10,336.4887
2019-06-07,336.2205
2019-06-06,335.9727
2019-06-05,336.1038
2019-06-04,336.5051
2019-06-03,337.4685
2019-05-31,339.2325
2019-05-30,340.8458
2019-05-29,341.6282
2019-05-28,342.6332
2019-05-24,343.0184
2019-05-23,343.4619
2019-05-22,344.4939
2019-05-21,345.3714
2019-05-20,345.6310
2019-05-17,346.6571
2019-05-16,347.5272
2019-05-15,348.6418
2019-05-14,350.8577
2019-05-13,353.5939
2019-05-10,357.2603
2019-05-09,359.1672
2019-05-08,361.3131
2019-05-07,363.2245
2019-05-06,365.6078
2019-05-03,366.4797
2019-05-02,366.8517
2019-05-01,367.3422
2019-04-30,367.7620
2019-04-29,368.1182
2019-04-26,368.3489
2019-04-25,368.3980
2019-04-24,368.2183
2019-04-23,368.9092
2019-04-22,369.8365
2019-04-18,370.7089
2019-04-17,371.0725
2019-04-16,371.7758
2019-04-15,372.0387
2019-04-12,373.0755
2019-04-11,373.7004
2019-04-10,375.5123
2019-04-09,378.0977
2019-04-08,380.4030
2019-04-05,382.2374
2019-04-04,382.1327
2019-04-03,381.5405
2019-04-02,382.2208
2019-04-01,382.2289
2019-03-29,382.1333
2019-03-28,383.2297
2019-03-27,385.2399
2019-03-26,387.4294
2019-03-25,390.2408
2019-03-22,393.2544
2019-03-21,397.4839
2019-03-20,400.7739
2019-03-19,403.8879
2019-03-18,407.5473
2019-03-15,411.6033
2019-03-14,415.1433
2019-03-13,419.6024
2019-03-12,423.9108
2019-03-11,428.7163
2019-03-08,430.9040
2019-03-07,430.5012
2019-03-06,429.9842
2019-03-05,429.1175
2019-03-04,427.4218
2019-03-01,425.1982
2019-02-28,421.7624
2019-02-27,418.0437
2019-02-26,414.4826
2019-02-25,411.5907
2019-02-22,408.3760
2019-02-21,405.1631
2019-02-20,402.3906
2019-02-19,398.8479
2019-02-15,395.5814
2019-02-14,391.7787
2019-02-13,388.5778
2019-02-12,384.9649
2019-02-11,380.9831
2019-02-08,377.4312
2019-02-07,373.4234
2019-02-06,369.0090
2019-02-05,363.7271
2019-02-04,358.0838
2019-02-01,353.5124
2019-01-31,349.6763
2019-01-30,345.7167
2019-01-29,341.1621
2019-01-28,338.9319
2019-01-25,336.7373
2019-01-24,334.2063
2019-01-23,332.1655
2019-01-22,329.9118
2019-01-18,327.5548
2019-01-17,324.1915
2019-01-16,321.2261
2019-01-15,318.8603
2019-01-14,316.2887
2019-01-11,313.7424
2019-01-10,310.7008
2019-01-09,307.4633
2019-01-08,305.0280
2019-01-07,302.8124
2019-01-04,301.9230
2019-01-03,301.1158
2019-01-02,302.2020
2018-12-31,301.8763
2018-12-28,301.7151
2018-12-27,302.3054
2018-12-26,302.8907
2018-12-24,303.9431
2018-12-21,307.4716
2018-12-20,310.0890
2018-12-19,311.9428
2018-12-18,313.2065
2018-12-17,313.5912
2018-12-14,315.4567
2018-12-13,317.1927
2018-12-12,318.2993
2018-12-11,319.3783
2018-12-10,321.1264
