Dates,EMA Values
2019-07-02,355.4474
2019-07-01,355.7550
2019-06-28,355.9830
2019-06-27,355.9175
2019-06-26,355.8490
2019-06-25,355.3398
2019-06-24,355.0351
2019-06-21,354.5308
2019-06-20,354.0921
2019-06-19,353.5136
2019-06-18,353.1649
2019-06-17,352.5855
2019-06-14,352.7466
2019-06-13,353.2247
2019-06-12,353.6541
2019-06-11,354.1744
2019-06-10,354.6237
2019-06-07,354.9121
2019-06-06,355.2163
2019-06-05,355.6556
2019-06-04,356.1887
2019-06-03,356.9090
2019-05-31,357.8886
2019-05-30,358.7991
2019-05-29,359.4155
2019-05-28,360.1000
2019-05-24,360.5686
2019-05-23,361.0556
2019-05-22,361.7369
2019-05-21,362.3565
2019-05-20,362.7621
2019-05-17,363.4232
2019-05-16,364.0219
2019-05-15,364.6935
2019-05-14,365.7201
2019-05-13,366.8929
2019-05-10,368.3409
2019-05-09,369.1543
2019-05-08,370.0226
2019-05-07,370.7842
2019-05-06,371.6773
2019-05-03,372.0341
2019-05-02,372.2117
2019-05-01,372.4228
2019-04-30,372.6027
2019-04-29,372.7544
2019-04-26,372.8581
2019-04-25,372.8967
2019-04-24,372.8567
2019-04-23,373.1077
2019-04-22,373.4264
2019-04-18,373.7122
2019-04-17,373.8144
2019-04-16,374.0223
2019-04-15,374.0714
2019-04-12,374.3719
2019-04-11,374.5182
2019-04-10,375.0483
2019-04-09,375.8081
2019-04-08,376.4355
2019-04-05,376.8701
2019-04-04,376.6283
2019-04-03,376.2200
2019-04-02,376.2383
2019-04-01,376.0178
2019-03-29,375.7568
2019-03-28,375.8886
2019-03-27,376.3041
2019-03-26,376.7456
2019-03-25,377.3579
2019-03-22,377.9919
2019-03-21,378.9823
2019-03-20,379.5934
2019-03-19,380.0914
2019-03-18,380.7187
2019-03-15,381.4173
2019-03-14,381.8770
2019-03-13,382.5823
2019-03-12,383.1633
2019-03-11,383.8370
2019-03-08,383.5575
2019-03-07,382.3684
2019-03-06,381.1300
2019-03-05,379.7654
2019-03-04,378.1193
2019-03-01,376.3037
2019-02-28,374.0978
2019-02-27,371.8282
2019-02-26,369.6461
2019-02-25,367.7206
2019-02-22,365.7125
2019-02-21,363.7349
2019-02-20,361.9345
2019-02-19,359.9023
2019-02-15,357.9981
2019-02-14,355.9480
2019-02-13,354.1391
2019-02-12,352.2261
2019-02-11,350.2294
2019-02-08,348.4211
2019-02-07,346.5007
2019-02-06,344.4915
2019-02-05,342.2463
2019-02-04,339.9463
2019-02-01,338.0752
2019-01-31,336.5073
2019-01-30,334.9473
2019-01-29,333.2402
2019-01-28,332.3682
2019-01-25,331.5375
2019-01-24,330.6242
2019-01-23,329.9088
2019-01-22,329.1506
2019-01-18,328.3898
2019-01-17,327.3269
2019-01-16,326.4444
2019-01-15,325.8047
2019-01-14,325.1317
2019-01-11,324.5058
2019-01-10,323.7537
