Dates,TRIMA Values
2019-04-11,344.5313
2019-04-10,344.3915
2019-04-09,344.2530
2019-04-08,344.1140
2019-04-05,343.9735
2019-04-04,343.8304
2019-04-03,343.6878
2019-04-02,343.5468
2019-04-01,343.4078
2019-03-29,343.2724
2019-03-28,343.1411
2019-03-27,343.0132
2019-03-26,342.8893
2019-03-25,342.7710
2019-03-22,342.6574
2019-03-21,342.5448
2019-03-20,342.4327
2019-03-19,342.3231
2019-03-18,342.2159
2019-03-15,342.1107
2019-03-14,342.0065
2019-03-13,341.9039
2019-03-12,341.8014
2019-03-11,341.6999
2019-03-08,341.5997
2019-03-07,341.5040
2019-03-06,341.4132
2019-03-05,341.3240
2019-03-04,341.2344
2019-03-01,341.1450
2019-02-28,341.0560
2019-02-27,340.9673
2019-02-26,340.8794
2019-02-25,340.7926
2019-02-22,340.7070
2019-02-21,340.6241
2019-02-20,340.5438
2019-02-19,340.4650
2019-02-15,340.3874
2019-02-14,340.3104
2019-02-13,340.2346
2019-02-12,340.1606
2019-02-11,340.0890
2019-02-08,340.0207
2019-02-07,339.9541
2019-02-06,339.8903
2019-02-05,339.8300
2019-02-04,339.7745
2019-02-01,339.7251
2019-01-31,339.6796
2019-01-30,339.6357
2019-01-29,339.5933
2019-01-28,339.5539
2019-01-25,339.5146
2019-01-24,339.4760
2019-01-23,339.4362
2019-01-22,339.3946
2019-01-18,339.3519
2019-01-17,339.3074
2019-01-16,339.2625
2019-01-15,339.2160
2019-01-14,339.1671
2019-01-11,339.1149
2019-01-10,339.0602
2019-01-09,339.0042
2019-01-08,338.9477
2019-01-07,338.8904
2019-01-04,338.8329
2019-01-03,338.7741
2019-01-02,338.7127
2018-12-31,338.6466
2018-12-28,338.5763
2018-12-27,338.5020
2018-12-26,338.4239
2018-12-24,338.3425
2018-12-21,338.2579
2018-12-20,338.1672
2018-12-19,338.0712
2018-12-18,337.9707
2018-12-17,337.8657
2018-12-14,337.7568
2018-12-13,337.6434
2018-12-12,337.5272
2018-12-11,337.4094
